0	1
1	4
2	13
3	1
4	8
5	3
6	14
7	16
8	0
9	1
10	13
11	8
12	13
13	1
14	1
15	18
16	13
17	3
18	15
19	16
20	16
21	16
22	18
23	13
24	0
25	0
26	5
27	13
28	8
29	9
30	1
31	13
32	13
33	18
34	2
35	1
36	1
37	1
38	2
39	4
40	4
41	3
42	1
43	16
44	3
45	18
46	5
47	4
48	1
49	18
50	18
51	16
52	16
53	0
54	16
55	15
56	15
57	5
58	3
59	2
60	3
61	4
62	18
63	13
64	1
65	18
66	1
67	18
68	15
69	0
70	9
71	13
72	2
73	18
74	13
75	13
76	4
77	0
78	17
79	5
80	4
81	13
82	4
83	4
84	18
85	2
86	3
87	18
88	4
89	4
90	15
91	15
92	15
93	4
94	15
95	13
96	3
97	15
98	13
99	1
100	13
101	15
102	16
103	4
104	13
105	5
106	5
107	9
108	0
109	17
110	13
111	3
112	8
113	1
114	16
115	15
116	13
117	13
118	9
119	1
120	1
121	9
122	9
123	13
124	1
125	8
126	9
127	9
128	0
129	1
130	9
131	5
132	12
133	15
134	4
135	13
136	18
137	19
138	1
139	13
140	15
141	13
142	17
143	15
144	5
145	8
146	4
147	19
148	0
149	13
150	4
151	2
152	8
153	2
154	18
155	1
156	15
157	14
158	1
159	8
160	16
161	4
162	5
163	16
164	8
165	17
166	5
167	0
168	19
169	14
170	9
171	13
172	3
173	1
174	5
175	1
176	1
177	1
178	18
179	18
180	4
181	1
182	13
183	9
184	0
185	16
186	13
187	18
188	5
189	5
190	19
191	13
192	5
193	19
194	5
195	0
196	4
197	5
198	15
199	15
200	13
201	13
202	14
203	8
204	18
205	9
206	18
207	18
208	18
209	4
210	9
211	8
212	18
213	13
214	0
215	8
216	0
217	13
218	5
219	2
220	1
221	15
222	1
223	13
224	9
225	0
226	9
227	13
228	18
229	4
230	0
231	8
232	13
233	9
234	1
235	13
236	5
237	5
238	5
239	5
240	18
241	4
242	4
243	9
244	15
245	18
246	0
247	1
248	1
249	17
250	16
251	13
252	3
253	3
254	1
255	13
256	13
257	13
258	7
259	1
260	15
261	0
262	4
263	15
264	1
265	8
266	9
267	15
268	15
269	8
270	14
271	14
272	14
273	12
274	9
275	1
276	15
277	15
278	1
279	16
280	15
281	15
282	5
283	14
284	16
285	17
286	6
287	5
288	5
289	15
290	5
291	0
292	15
293	1
294	5
295	15
296	1
297	12
298	9
299	14
300	10
301	6
302	6
303	11
304	2
305	1
306	16
307	5
308	15
309	12
310	14
311	9
312	15
313	15
314	15
315	17
316	9
317	9
318	9
319	9
320	9
321	9
322	9
323	15
324	6
325	2
326	7
327	14
328	15
329	15
330	15
331	9
332	15
333	15
334	15
335	15
336	15
337	15
338	1
339	15
340	14
341	5
342	6
343	15
344	2
345	17
346	14
347	15
348	9
349	5
